Date,City,Chai_Type,Cups_Sold,Revenue
2026-01-01,Mumbai,Masala Chai,120,2400
2026-01-02,Pune,Adrak Chai,95,1900
2026-01-03,Delhi,Elaichi Chai,110,2200
2026-01-04,Bengaluru,Lemon Chai,80,1600
2026-01-05,Hyderabad,Green Tea,70,2100
2026-01-06,Chennai,Masala Chai,135,2700
2026-01-07,Kolkata,Adrak Chai,100,2000
2026-01-08,Ahmedabad,Tulsi Chai,85,1700
2026-01-09,Jaipur,Black Tea,90,1800
2026-01-10,Lucknow,Masala Chai,140,2800
2026-01-11,Surat,Elaichi Chai,105,2100
2026-01-12,Nagpur,Adrak Chai,98,1960
2026-01-13,Indore,Lemon Chai,75,1500
2026-01-14,Bhopal,Green Tea,65,1950
2026-01-15,Patna,Masala Chai,145,2900
2026-01-16,Chandigarh,Tulsi Chai,88,1760
2026-01-17,Kochi,Black Tea,92,1840
2026-01-18,Goa,Masala Chai,125,2500
2026-01-19,Nashik,Adrak Chai,108,2160
2026-01-20,Amritsar,Elaichi Chai,112,2240
2026-01-21,Mysuru,Green Tea,72,2160
2026-01-22,Visakhapatnam,Lemon Chai,82,1640
2026-01-23,Rajkot,Masala Chai,138,2760
2026-01-24,Kanpur,Adrak Chai,101,2020
2026-01-25,Varanasi,Tulsi Chai,89,1780